Name,Code,Unit,ItemType,VatRate,SdRate
Sugar,ITM00001,KG,raw,0,0
Wheat,ITM00002,KG,raw,0,0
Oil,ITM00003,KG,raw,0,0
Sugar,ITM00004,KG,raw,0,0
Oil,ITM00005,KG,raw,5,0
Flour,ITM00006,KG,raw,0,0
Flour,ITM00007,KG,raw,0,0
Rice,ITM00008,KG,raw,5,0
Wheat,ITM00009,KG,raw,0,0
Rice,ITM00010,KG,raw,0,0
Oil,ITM00011,KG,raw,5,0
Sugar,ITM00012,KG,raw,5,0
Salt,ITM00013,KG,raw,5,0
Sugar,ITM00014,KG,raw,5,0
Wheat,ITM00015,KG,raw,0,0
Oil,ITM00016,KG,raw,0,0
Rice,ITM00017,KG,raw,0,0
Wheat,ITM00018,KG,raw,5,0
Oil,ITM00019,KG,raw,5,0
Oil,ITM00020,KG,raw,0,0
Rice,ITM00021,KG,raw,5,0
Sugar,ITM00022,KG,raw,5,0
Rice,ITM00023,KG,raw,5,0
Flour,ITM00024,KG,raw,0,0
Sugar,ITM00025,KG,raw,0,0
Salt,ITM00026,KG,raw,0,0
Oil,ITM00027,KG,raw,0,0
Sugar,ITM00028,KG,raw,5,0
Oil,ITM00029,KG,raw,0,0
Oil,ITM00030,KG,raw,0,0
Salt,ITM00031,KG,raw,0,0
Wheat,ITM00032,KG,raw,5,0
Salt,ITM00033,KG,raw,0,0
Sugar,ITM00034,KG,raw,5,0
Rice,ITM00035,KG,raw,0,0
Sugar,ITM00036,KG,raw,0,0
Wheat,ITM00037,KG,raw,0,0
Salt,ITM00038,KG,raw,5,0
Rice,ITM00039,KG,raw,0,0
Rice,ITM00040,KG,raw,0,0
Oil,ITM00041,KG,raw,0,0
Salt,ITM00042,KG,raw,0,0
Wheat,ITM00043,KG,raw,5,0
Salt,ITM00044,KG,raw,5,0
Salt,ITM00045,KG,raw,5,0
Flour,ITM00046,KG,raw,5,0
Wheat,ITM00047,KG,raw,0,0
Salt,ITM00048,KG,raw,0,0
Wheat,ITM00049,KG,raw,5,0
Sugar,ITM00050,KG,raw,0,0
Flour,ITM00051,KG,raw,0,0
Wheat,ITM00052,KG,raw,5,0
Flour,ITM00053,KG,raw,0,0
Salt,ITM00054,KG,raw,0,0
Wheat,ITM00055,KG,raw,0,0
Wheat,ITM00056,KG,raw,0,0
Oil,ITM00057,KG,raw,5,0
Sugar,ITM00058,KG,raw,0,0
Sugar,ITM00059,KG,raw,5,0
Oil,ITM00060,KG,raw,0,0
Wheat,ITM00061,KG,raw,0,0
Oil,ITM00062,KG,raw,5,0
Oil,ITM00063,KG,raw,0,0
Sugar,ITM00064,KG,raw,0,0
Wheat,ITM00065,KG,raw,5,0
Wheat,ITM00066,KG,raw,5,0
Sugar,ITM00067,KG,raw,5,0
Oil,ITM00068,KG,raw,0,0
Salt,ITM00069,KG,raw,5,0
Sugar,ITM00070,KG,raw,0,0
Sugar,ITM00071,KG,raw,0,0
Sugar,ITM00072,KG,raw,0,0
Wheat,ITM00073,KG,raw,5,0
Oil,ITM00074,KG,raw,0,0
Salt,ITM00075,KG,raw,5,0
Oil,ITM00076,KG,raw,5,0
Rice,ITM00077,KG,raw,0,0
Sugar,ITM00078,KG,raw,5,0
Sugar,ITM00079,KG,raw,0,0
Wheat,ITM00080,KG,raw,5,0
Wheat,ITM00081,KG,raw,0,0
Rice,ITM00082,KG,raw,5,0
Sugar,ITM00083,KG,raw,0,0
Flour,ITM00084,KG,raw,0,0
Oil,ITM00085,KG,raw,5,0
Sugar,ITM00086,KG,raw,0,0
Oil,ITM00087,KG,raw,0,0
Flour,ITM00088,KG,raw,5,0
Rice,ITM00089,KG,raw,0,0
Rice,ITM00090,KG,raw,0,0
Oil,ITM00091,KG,raw,0,0
Rice,ITM00092,KG,raw,0,0
Rice,ITM00093,KG,raw,5,0
Sugar,ITM00094,KG,raw,5,0
Wheat,ITM00095,KG,raw,0,0
Rice,ITM00096,KG,raw,0,0
Oil,ITM00097,KG,raw,0,0
Rice,ITM00098,KG,raw,5,0
Flour,ITM00099,KG,raw,5,0
Wheat,ITM00100,KG,raw,0,0
Oil,ITM00101,KG,raw,0,0
Sugar,ITM00102,KG,raw,0,0
Sugar,ITM00103,KG,raw,5,0
Sugar,ITM00104,KG,raw,0,0
Oil,ITM00105,KG,raw,5,0
Salt,ITM00106,KG,raw,0,0
Salt,ITM00107,KG,raw,5,0
Flour,ITM00108,KG,raw,0,0
Salt,ITM00109,KG,raw,5,0
Sugar,ITM00110,KG,raw,5,0
Oil,ITM00111,KG,raw,0,0
Flour,ITM00112,KG,raw,0,0
Sugar,ITM00113,KG,raw,0,0
Oil,ITM00114,KG,raw,5,0
Wheat,ITM00115,KG,raw,5,0
Rice,ITM00116,KG,raw,0,0
Oil,ITM00117,KG,raw,5,0
Sugar,ITM00118,KG,raw,0,0
Wheat,ITM00119,KG,raw,5,0
Rice,ITM00120,KG,raw,5,0
Rice,ITM00121,KG,raw,5,0
Flour,ITM00122,KG,raw,5,0
Flour,ITM00123,KG,raw,5,0
Oil,ITM00124,KG,raw,0,0
Salt,ITM00125,KG,raw,5,0
Rice,ITM00126,KG,raw,0,0
Flour,ITM00127,KG,raw,0,0
Rice,ITM00128,KG,raw,5,0
Sugar,ITM00129,KG,raw,5,0
